X,Y,Name (ชื่อ),Description (คำอธิบาย),Problem (ปัญหา),Project (โครงการ),Solution (การแก้ไข),Type of Problem (ประเภทปัญหา),District (เขต),Status (สถานะดำเนินการ),ข้อมูลจาก,mapbox icon
100.616361,13.758056,12. ถนนรามคำแหง ช่วงหน้ามหาวิทยาลัยรามคำแหง (ฝั่งขาเข้า),,,1. ปรับปรุงสถานีคลองจิตต คลองจิก สน.หัวหมาก (สคน.) 65,,,บางกะปิ,เสร็จทันฝนปีนี้,สนน.,ocp_rain.svg
100.645694,13.757694,13. ถนนศรีนครินทร์ จากแยกลำสาลี ถึงถนนกรุงเทพกรีฑา,,,"1. ก่อสร้างทำนบกั้นน้ำ แนวคลองแสนแสบและคลองตัน (งบประมาณ ปี 66 เพิ่มเติม)
 2. งานก่อสร้างบ่อหน่วงน้ำใต้ดินในที่ดินสาธารณะ บริเวณใต้สะพานทางแยกต่างระดับถนนศรีนครินทร์กับถนนกรุงเทพกรีฑา",,,บางกะปิ,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.619639,13.753,14. ถนนหัวหมาก (รามคำแหง 24),,,,,,บางกะปิ,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.647722,13.767778,15. ถนนนวมินทร์ จากแยกบางกะปิ ถึงสถานีตำรวจนครบาลลาดพร้าว,,,"1. งานปรับปรุงสถานีสูบน้ำคลองตาหนัง งบประมาณ 65 (เพิ่มเติม) , เสร็จทันฝนปีนี้ (66)
2. โครงการปรับปรุงสถานีสูบน้ำคลองยายเผื่อน งบประมาณ 66  , เสร็จไม่ทันฝนปีนี้ (66)
3. ก่อสร้างทำนบกั้นน้ำ แนวคลองแสนแสบและคลองตัน . 66 เพิ่มเติม , ไม่ทันฝนปีนี้",,,บางกะปิ,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.612182,13.753833,16. ถนนรามคำแหง จากซอยรามคำแหง 12 ถึงซอยรามคำแหง 24 (ขาเข้า),,,,,,บางกะปิ,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.612667,13.754639,17. ถนนรามคำแหง จากซอยรามคำแหง 19 ถึงซอยรามคำแหง 39,,,,,,บางกะปิ,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.529806,13.746325,18. ถนนพระรามที่ 1 หน้าห้างมาบุญครอง - หน้าสนามกีฬาแห่งชาติ,,,"1"" งานปรับปรุงขยายเขื่อน ค.ส.ล.คลองแสนแสบ จากบริเวณถนนพระรามที่ 6 ถึงบริเวณสะพานเฉลิมหล้า 56 (งบประมาณ ปี 67)
2. โครงการก่อสร้างเขื่อนและปรับปรุงเขื่อน ค.ส.ล. คลองแสนแสบ จากบริเวณสะพานผ่านฟ้าลีลาศ ถึงบริเวณทางด่วนเฉลิมมหานคร (งบประมาณ ปี 68)
",,,ปทุมวัน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.53412,13.745642,19. ถนนพระรามที่ 1 ใต้สถานีรถไฟฟ้าสยาม,,,1. โครงการก่อสร้างเขื่อนและปรับปรุงเขื่อน ค.ส.ล. คลองแสนแสบ จากบริเวณสะพานผ่านฟ้าลีลาศ ถึงบริเวณทางด่วนเฉลิมมหานคร (งบประมาณ ปี 67),,,ปทุมวัน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.624509,13.684316,20. ถนนวชิรธรรมสาธิต จากถนนสุขุมวิท ถึงซอยวชิรธรรมสาธิต 34,,,1.โครงการก่อสร้างอุโมค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา,,,พระโขนง,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.622621,13.686466,21. ถนนวชิรธรรมสาธิต (สุขุมวิท 101/1) ช่วง 3 แยกตัดซอยวัดทุ่ง,,,1.โครงการก่อสร้างอุโมค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา,,,พระโขนง,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.729538,13.812561,22. ถนนสีหบุรานุกิจ บริเวณจุดกลับรถใต้สะพานข้ามคลองสามวา,,,1. โครงการก่อสร้างเขื่อน ค.ส.ล. พร้อมระบบรวบรวมน้ำเสียคลองแสนแสบ (ระยะที่ 1) จากบริเวณเขื่อนเดิม ถึงบริเวณซอยราษฎร์อุทิศ 37 (งบประมาณ ปี 68),,,มีนบุรี,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.772028,13.753111,23. ถนนเจ้าคุณทหาร จากถนนฉลองกรุง ถึงคลองสาม,,,1. โครงการปรับปรุงระบบระบายน้ำถนนเจ้าคุณทหาร จากคลองสามถึงคลองพุทรา งบ ุุ เพิ่มเติม,,,ลาดกระบัง,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.788583,13.736722,24. ถนนฉลองกรุง จากซอยฉลองกรุง 8 ถึงทางมอเตอร์เวย์,,,"1. ปรับปรุงระบบระบายน้ำถนนฉลองกรุง ช่วงจากถนนมอเตอร์เวย์ถึงคลองลำชวดเตย  งบประมาณ 66 (เพิ่มเติม) , เสร็จไม่ทันฝนปีนี้ (66)",,,ลาดกระบัง,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.739361,13.722417,25. ถนนลาดกระบัง จากแยกกิ่งแก้ว ถึงซอยลาดกระบัง 26,,,"1. ปรับปรุงระบบระบายน้ำถนนลาดกระบัง ช่วงจากคลองบัวเกาะถึงคลองหนองปรือ งบประมาณ 66 (เพิ่มเติม) ,  เสร็จไม่ทันฝนปีนี้ (66)",,,ลาดกระบัง,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.814917,13.712694,26. ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงใต้สะพานมอเตอร์เวย์,,,"1. ปรับปรุงระบบระบายน้ำถนนหลวงแพ่ง ช่วงจากคลองหัวตะเข้ถึงคลองกาหลง  งบประมาณ 66 (เพิ่มเติม) ,  เสร็จไม่ทันฝนปีนี้ (66)",,,ลาดกระบัง ,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.793,13.721,27. ถนนหลวงแพ่ง หน้าโลตัสลาดกระบัง,,,"1. ปรับปรุงระบบระบายน้ำถนนหลวงแพ่ง ช่วงจากคลองหัวตะเข้ถึงคลองกาหลง  งบประมาณ 66 (เพิ่มเติม) ,  เสร็จไม่ทันฝนปีนี้ (66)",,,ลาดกระบัง,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.813083,13.713389,28. ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงทางเข้ามอเตอร์เวย์สาย 7,,,"1. ปรับปรุงระบบระบายน้ำถนนหลวงแพ่ง ช่วงจากคลองหัวตะเข้ถึงคลองกาหลง  งบประมาณ 66 (เพิ่มเติม) ,  เสร็จไม่ทันฝนปีนี้ (66)",,,ลาดกระบัง,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.530642,13.700964,29. ถนนสาธุประดิษฐ์จากถนนจันทน์ถึงถนนรัชดาภิเษก,,,โครงการก่อสร้างระบบระบายน้ำเพื่อแก้ไขปัญหาน้ำท่วมถนนจันทน์,,,ยานนาวา,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.544996,13.780847,30. ถนนพหลโยธิน แยกสะพานควาย – ซอยอารีย์,,,,,,พญาไท,เสร็จทันฝนนี้,สนน.,ocp_rain.svg
100.548285,13.789786,31. ถนนประดิพัทธ์ แยกสะพานควาย,,,,,,พญาไท,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.553539,13.774325,32. ถนนวิภาวดีรังสิต บริเวณหน้ากรมทหารราบที่ 1 มหาดเล็กรักษาพระองค์,,,1.งานปรับปรุงระบบท่อส่งน้ำสถานีสูบน้ำดินแดง,,,พญาไท,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.534857,13.784735,33. ถนนพระรามที่ 6 ช่วงลงทางด่วน,,,1. โครงการก่อสร้างท่อขนส่งน้ำใต้ถนนพระรามที่ 6 จากคลองสามเสนลงสู่อุโมงค์ใต้คลองบางซื่อ,,,พญาไท,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.545075,13.781184,34. ถนนพหลโยธิน จากคลองสามเสน ถึงคลองบางซื่อ,,,,,,พญาไท,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.485895,13.727385,35.ถนนอินทรพิทักษ์ จุดกลับรถใต้สะพานเนาวจำเนียร,,,,,,ธนบุรี,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.485155,13.72776,36.ถนนเพชรเกษม จุดกลับรถใต้สะพานเนาวจำเนียร,,,อยู่ระหว่างสำรวจออกแบบ,,,บางกอกใหญ่,,สนน.,ocp_rain.svg
100.566205,13.748655,37. ถนนเพชรบุรี จากแยกอโศก ถึงคลองบางกะปิ,,,1. โครงการก่อสร้างเขื่อนและปรับปรุงเขื่อนค.ส.ล.คลองแสนแสบจากบริเวณทางด่วนเฉลิมมหานคร ไปทาง ประตูระบายน้ำคลองตัน (งบประมาณ ปี 67),,,ห้วยขวาง,อยู่ระหว่างขออนุมัติจ้าง,สนน.,ocp_rain.svg
100.579726,13.776728,38. ถนนประชาอุทิศ ช่วงหน้าสำนักงานเขตห้วยขวาง,,,1. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองชวดบางจาก จากเขื่อนเดิมบริเวณถนนสุทธิสารวินิจฉัย ถึงประตูระบายน้ำคลองชวดบางจาก,,,ห้วยขวาง,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.57736,13.778422,39. ถนนประชาราษฏร์บำเพ็ญ จากถนนรัชดาภิเษก ถึงสามแยกตัดถนนประชาอุทิศ,,,1. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองชวดบางจาก จากเขื่อนเดิมบริเวณถนนสุทธิสารวินิจฉัย ถึงประตูระบายน้ำคลองชวดบางจาก,,,ห้วยขวาง,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.577391,13.789692,40. ถนนสุทธิสารวินิจฉัย ช่วงหน้าโรงพยาบาลโกลเด้นเยียส์ ,,,,,,ห้วยขวาง,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.494872,13.726789,41.ถนนลาดหญ้า ช่วงหน้า PLATFORM (โรบินสันเดิม),,,,,,คลองสาน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.435774,13.784726,42.ถนนฉิมพลี จากอู่สง่า ถึงถนนบรมราชชนนี,,,,,,ตลิ่งชัน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.461399,13.787524,43.ถนนเลียบทางรถไฟสายใต้ฝั่งขาออก บริเวณวงเวียนชัยพฤกษ์,,,บ่อสูบ,,,ตลิ่งชัน,เสร็จทันฝนนี้,สนน.,ocp_rain.svg
100.478088,13.753883,44.ถนนอิสรภาพ จากหน้าตลาดพรานนก ถึงซอยอิสรภาพ 44,,,งานก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนอิสระภาพ ช่วงตลาดพรานนกถึงซอยอิสระภาพ 44 (2 ฝั่ง),,,บางกอกน้อย,เสร็จทันฝนนี้,สนน.,ocp_rain.svg
100.430486,13.654164,45.ถนนบางขุนเทียน - ชายทะเล ช่วงจากถนนพระรามที่ 2 ถึงคลองกล้วย,,,1.งานปรับปรุงระบบระบายน้ำและก่อสร้างเขื่อน ค.ส.ล. คลองกล้วย  ช่วงคลองพระยาราชมนตรีถึงถนนบางขุนเทียนชายทะเล,,,บางขุนเทียน,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.442361,13.657611,46.ถนนท่าข้าม ช่วงจากคลองกล้วยถึงซอยท่าข้าม 6/1,,,1. โครงการก่อสร้างเขื่อน ค.ส.ล. คลองสนามชัย จากบริเวณสถานีสูบน้ำคลองสนามชัยถึงบริเวณคลองศาลเจ้า (งบประมาณ ปี 68),,,บางขุนเทียน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.400167,13.628361,47.ถนนบางกระดี่ ช่วงจากซอยบางกระดี่ 3 ถึง ตลาดกลางบางกระดี่,,,1.ก่อสร้างบ่อพักพร้อมประตูปิดกั้นน้ำในพื้นที่เขตสายไหม เขตบางเขนและเขตบางขุนเทียน,,,บางขุนเทียน,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.428392,13.66617,48.ถนนบางขุนเทียน จากช่วงตัดรางรถไฟสายมหาชัย 2 ฝั่ง,,,,,,บางขุนเทียน,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.454778,13.718944,49.ถนนเพชรเกษม จาก BTS บางหว้า ถึงคลองโรงยาว,,,"1.โครงการก่อสร้างระบบระบายน้ำถนนเพชรเกษม
2. โครงการก่อสร้างเขื่อน ค.ส.ล. พร้อมทางเดินคลองภาษีเจริญจากบริเวณเขื่อนเดิม ถนนราชพฤกษ์ถึงบริเวณวัดรางบัว (งบประะะมาณ ปี 68)",,,ภาษีเจริญ,,สนน.,ocp_rain.svg
100.433667,13.71275,50.ถนนเพชรเกษม จากซอยเพชรเกษม 52 ถึงบ้านพักคนชรา บางแค,,,1.โครงการก่อสร้างอุโมงค์ระบายน้ำคลองทวีวัฒนาบริเวณคอขวด,,,ภาษีเจริญ,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.361972,13.687076,51.ถนนเลียบคลองภาษีเจริญฝั่งเหนือ จากเลียบเหนือซอย 8 เลียบเหนือซอย 20,,,1.โครงการก่อสร้างเขื่อน ค.ส.ล. และสถานีสูบน้ำคลองมหาศรจากบริเวณคลองบางไผ่ถึงบริเวณคลองภาษีเจริญ,,,หนองแขม,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.342917,13.687417,52.ถนนมาเจริญ (เพชรเกษม 81) จากหมู่บ้านพุฒตาล จากหมู่บ้านพฤกษาทาวน์,,,"1.โครงการก่อสร้างเขื่อน ค.ส.ล. และสถานีสูบน้ำคลองมหาศรจากบริเวณคลองบางไผ่ถึงบริเวณคลองภาษีเจริญ (งบประมาณ ปี 65)
ปรับปรุงท่อระบายน้ำ บ่อสูบน้ำ
",,,หนองแขม,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.56708,13.786049,53. ถนนประชาสุข ช่วงซอยอินทามระ 45 – 53,,,"1. ขุดลอกคลองนาซอง จากคลองห้วยขวาง ถึงสถานีสูบน้ำคลองนาซอง
2. ปรับปรุงเขื่อนคลองห้วยขวาง จากถนนประชาสงเคราะห์ ถึงบริเวณคลองด่วน
3. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองห้วยขวาง จากบริเวณสถานีสูบน้ำคลองห้วยขวางถึงถนนรัชดาภิเษก
4. งานก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง)",,,ดินแดง,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.568139,13.778359,54. ถนนประชาสงเคราะห์ ตลาดห้วยขวาง,,,"1. ขุดลอกคลองนาซอง จากคลองห้วยขวาง ถึงสถานีสูบน้ำคลองนาซอง
2. ปรับปรุงเขื่อนคลองห้วยขวาง จากถนนประชาสงเคราะห์ ถึงบริเวณคลองด่วน
3. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองห้วยขวาง จากบริเวณสถานีสูบน้ำคลองห้วยขวางถึงถนนรัชดาภิเษก
4. งานก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง)",,,ดินแดง,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.567892,13.775488,55. ถนนประชาสงเคราะห์ ช่วงวงเวียนหอนาฬิกา,,,"1. ขุดลอกคลองนาซอง จากคลองห้วยขวาง ถึงสถานีสูบน้ำคลองนาซอง
2. โครงการปรับปรุงเขื่อน ค.ส.ล. คลองห้วยขวาง จากบริเวณสถานีสูบน้ำคลองห้วยขวางถึงถนนรัชดาภิเษก
3. งานก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาสงเคราะห์ ถนนประชาราษฎร์บำเพ็ญ และถนนประชาสุข ช่วงจากคลองนาซองถึงคลองห้วยขวาง (2ฝั่ง)",,,เขตดินแดง,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.572653,13.769581,56. ถนนรัชดาภิเษก แยกเทียมร่วมมิตร,,,,,,ดินแดง,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.5504,13.762793,57. ถนนดินแดง หน้าโรงเรียนพิบูลประชาสรรค์,,,,,,เขตดินแดง,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.556763,13.76508,58. ถนนประชาสงเคราะห์ ช่วงหน้าตลาดดินแดง,,,,,,เขตดินแดง,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.651583,13.794806,59. ถนนนวมินทร์ จากซอยนวมินทร์ 40 ถึงซอยนวมินทร์ 36,,,"1. ก่อสร้างบ่อสูบน้ำถนนนวมินทร์ ตอนลงคลองบางเตย งบประมาณ 66 (เพิ่มเติม) ,  เสร็จไม่ทันฝนปีนี้ (66)",,,บึงกุ่ม,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.647389,13.804167,60. ถนนนวมินทร์ จากซอยนวมินทร์ 97 ถึงซอยนวมินทร์ 111,,,"1. ก่อสร้างบ่อสูบน้ำถนนนวมินทร์ ตอนลงคลองบางเตย งบประมาณ 66 (เพิ่มเติม) , เสร็จไม่ทันฝนปีนี้ (66)",,,บึงกุ่ม,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.649972,13.809778,61. ถนนนวมินทร์ จากถนนประเสริฐมนูกิจ ถึงคลองดอนอีกา,,,"1. ก่อสร้างบ่อสูบน้ำถนนนวมินทร์ ตอนลงคลองบางเตย งบประมาณ 66 (เพิ่มเติม) , เสร็จไม่ทันฝนปีนี้ (66)",,,บึงกุ่ม,เสร็จไม่ทันฝนปีนี้,สนน.,ocp_rain.svg
100.658273,13.829139,62. ถนนนวมินทร์ ช่วงปากซอยนวมินทร์ 155,,,,,,บึงกุ่ม,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.533967,13.72284,63. ถนนสวนพลู ช่วงจากถนนสาทรใต้ - ถนนนางลิ้นจี่,,,1. ก่อสร้างรางระบายน้ำ ค.ส.ล. บริเวณถนนสวนพลู ช่วงซอยสวนพลู 6 ถึงแยกเทคนิคกรุงเทพ (2 ฝั่ง),,,สาทร,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.52885,13.705423,64. ถนนสาธุประดิษฐ์ แยกตัดถนนจันทน์,,,โครงการก่อสร้างระบบระบายน้ำเพื่อแก้ไขปัญหาน้ำท่วมถนนจันทน์,,,สาทร,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.52626,13.706396,65. ถนนจันทน์ ช่วงจากซอยบำเพ็ญกุศล - ที่ทำการไปรษณีย์ยานนาวา,,,1.งานปรับปรุงสถานีสูบน้ำคลองกรวย (สคน.),,,สาทร,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.530905,13.806427,66. ถนนประชาราษฎร์สาย 2 บริเวณแยกเตาปูน,,,1.งานปรับปรุงสถานีสูบน้ำคลองขรัวตาแก่น (สคน.),,,บางซื่อ,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.521607,13.806402,67. ถนนประชาราษฎร์สาย 1 ช่วงแยกบางโพ,,,"1.งานปรับปรุงสถานีสูบน้ำคลองขรัวตาแก่น 
2.ก่อสร้างรางระบายน้ำ ค.ส.ล. ถนนประชาราษฎร์สาย 1 ช่วงคลงบางโพธิ์ถึงคลองขรัวตาแก่น",,,บางซื่อ,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.515171,13.815543,68. ถนนประชาราษฎร์สาย 1 ช่วงใต้สะพานพระราม 7,,,,,,บางซื่อ,อยู่ระหว่างสำรวจและออกแบบ,สนน.,ocp_rain.svg
100.57524,13.808651,69. ถนนรัชดาภิเษก ช่วงหน้าธนาคารกรุงเทพ,,,1.ก่อสร้างท่อลอดระบายน้ำถนนรัชดาภิเษก ช่วงหน้ามหาวิทยาลัยราชภัฏจันทรเกษมถึงหน้าธนาคารกรุงเทพ และปรับปรุงบ่อสูบน้ำถนนรัชดาภิเษก (ขาเข้า),,,จตุจักร,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.57557,13.818545,70. ถนนรัชดาภิเษก ช่วงหน้ามหาวิทยาลัยราชภัฏจันทรเกษม,,,1.ก่อสร้างท่อลอดระบายน้ำถนนรัชดาภิเษก ช่วงหน้ามหาวิทยาลัยราชภัฏจันทรเกษมถึงหน้าธนาคารกรุงเทพ และปรับปรุงบ่อสูบน้ำถนนรัชดาภิเษก (ขาเข้า),,,จตุจักร,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.575398,13.816265,71. ถนนรัชดาภิเษก ช่วงหน้าศาลอาญา,,,1.ก่อสร้างท่อลอดระบายน้ำถนนรัชดาภิเษก ช่วงหน้ามหาวิทยาลัยราชภัฏจันทรเกษมถึงหน้าธนาคารกรุงเทพ และปรับปรุงบ่อสูบน้ำถนนรัชดาภิเษก (ขาเข้า),,,จตุจักร,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.548821,13.823548,72. ถนนกำแพงเพชร 2 หน้าหมอชิตใหม่,,,,,,จตุจักร,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.54956,13.839922,73. ถนนเทศบาลสงเคราะห์ ช่วงหน้าตลาดประชานิเวศน์,,,"1.ขุดลอกคลองเปรมประชากร จากถนนเทศบาลสงเคราะห์ ถึงประตูระบายน้ำสรรพาวุธ
2.ก่อสร้างเขื่อนคลองเปรมประชากร ตอนลอดใต้สะพานทางรถไฟ
3.โครงการก่อสร้างอุโมงค์ระบายน้ำคลองเปรมประชากรจากคลองบางบัวลงสู่แม่น้ำเจ้าพระยา
4.ก่อสร้างระบบระบายน้ำถนนเทศบาลสงเคราะห์ ตอนลงคลองเปรมประชากร",,,จตุจักร,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.553122,13.805256,74. ถนนกำแพงเพชร 3 จากสวนสมเด็จพระนางเจ้าสิริกิติ์ ถึงถนนกำแพงเพชร,,,,,,จตุจักร,อยู่ระหว่างสำรวจออกแบบ,สนน.,ocp_rain.svg
100.552159,13.799885,75. ถนนพหลโยธิน บริเวณกรมการขนส่งทางบก,,,1.ขุดลอกคลองบางซื่อ จากทางรถไฟสายเหนือ ถึงอาคารรับน้ำถนนรัชดาภิเษก,,,จตุจักร,เสร็จทันน้ำฝนนี้,สนน.,ocp_rain.svg
100.575296,13.81981,76. ถนนรัชดาภิเษก จากแยกรัชโยธิน ถึงซอยอาภาภิรมย์,,,1.งานก่อสร้างบ่อสูบน้ำซอยรัชดาภิเษก 32 (อาภาภิรมย์) ตอนลงคลองลาดพร้าว,,,จตุจักร,เสร็จไม่ทันน้ำฝนนี้,สนน.,ocp_rain.svg
